Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
AB Agarkar,2006-2007,4,2,0,15,14,7.50,136.36,-,-,-
KK Ahmed,2018-2019,14,1,1,1,1*,-,100.0,-,-,-
S Aravind,2015-2015,1,-,0,-,-,-,0.0,-,-,-
Arshdeep Singh,2022-2023,26,5,5,6,2*,-,60.0,-,-,-
R Ashwin,2010-2022,65,19,12,184,31*,26.28,115.0,-,-,-
Avesh Khan,2022-2022,15,3,2,10,8,10.00,142.85,-,-,-
P Awana,2012-2012,2,-,0,-,-,-,0.0,-,-,-
S Badrinath,2011-2011,1,1,0,43,43,43.00,116.21,-,-,-
L Balaji,2012-2012,5,-,0,-,-,-,0.0,-,-,-
STR Binny,2015-2016,3,2,0,35,24,17.50,120.68,-,-,-
JJ Bumrah,2016-2022,60,7,5,8,7,4.00,61.53,-,-,1
YS Chahal,2016-2023,75,4,2,5,3*,2.50,45.45,-,-,-
DL Chahar,2018-2022,24,6,5,53,31,53.00,203.84,-,-,-
RD Chahar,2019-2021,6,1,0,5,5,5.00,100.0,-,-,-
PP Chawla,2010-2012,7,1,0,-,0,0.00,0.0,-,-,1
R Dhawan,2016-2016,1,1,1,1,1*,-,50.0,-,-,-
S Dhawan,2011-2021,68,66,3,1759,92,27.92,126.36,-,11,2
MS Dhoni,2006-2019,98,85,42,1617,56,37.60,126.13,-,2,1
AB Dinda,2009-2012,9,2,1,22,19,22.00,91.66,-,-,-
R Dravid,2011-2011,1,1,0,31,31,31.00,147.61,-,-,-
S Dube,2019-2020,13,9,3,105,54,17.50,136.36,-,1,-
RD Gaikwad,2021-2022,9,8,0,135,57,16.87,123.85,-,1,-
G Gambhir,2007-2012,37,36,2,932,75,27.41,119.02,-,7,2
Harbhajan Singh,2006-2016,28,13,5,108,21,13.50,124.13,-,-,1
DJ Hooda,2022-2023,21,17,5,368,104,30.66,147.19,1,-,2
Ishan Kishan,2021-2023,27,27,1,653,89,25.11,122.74,-,4,-
SS Iyer,2017-2022,49,45,11,1043,74*,30.67,135.98,-,7,4
VR Iyer,2021-2022,9,7,3,133,35*,33.25,162.19,-,-,-
RA Jadeja,2009-2022,64,34,15,457,46*,24.05,124.52,-,-,2
KM Jadhav,2015-2017,9,6,0,122,58,20.33,123.23,-,1,-
Joginder Sharma,2007-2007,4,-,0,-,-,-,0.0,-,-,-
KD Karthik,2006-2022,59,47,22,686,55,27.44,144.11,-,1,2
M Kartik,2007-2007,1,-,0,-,-,-,0.0,-,-,-
S Kaul,2018-2019,3,-,0,-,-,-,0.0,-,-,-
Z Khan,2006-2012,17,4,2,13,9,6.50,130.0,-,-,-
V Kohli,2010-2022,115,107,31,4008,122*,52.73,137.96,1,37,4
Kuldeep Yadav,2017-2023,28,5,3,43,23*,21.50,87.75,-,-,1
DS Kulkarni,2016-2016,2,1,1,1,1*,-,100.0,-,-,-
B Kumar,2012-2022,87,21,13,67,16,8.37,71.27,-,-,2
P Kumar,2008-2012,10,3,0,7,6,2.33,43.75,-,-,1
Mandeep Singh,2016-2016,3,3,1,87,52*,43.50,119.17,-,1,-
M Markande,2019-2019,1,-,0,-,-,-,0.0,-,-,-
A Mishra,2010-2017,10,1,0,-,0,0.00,0.0,-,-,1
Mohammed Shami,2014-2022,23,3,2,-,0*,0.00,0.0,-,-,1
Mohammed Siraj,2017-2022,8,1,0,5,5,5.00,71.42,-,-,-
D Mongia,2006-2006,1,1,0,38,38,38.00,84.44,-,-,-
T Natarajan,2020-2021,4,-,0,-,-,-,0.0,-,-,-
P Negi,2016-2016,1,-,0,-,-,-,0.0,-,-,-
A Nehra,2009-2017,27,5,0,28,22,5.60,71.79,-,-,3
NV Ojha,2010-2010,2,2,0,12,10,6.00,44.44,-,-,-
PP Ojha,2009-2010,6,1,1,10,10*,-,166.66,-,-,-
D Padikkal,2021-2021,2,2,0,38,29,19.00,100.0,-,-,-
MK Pandey,2015-2020,39,33,17,709,79*,44.31,126.15,-,3,2
HH Pandya,2016-2023,87,67,17,1271,71*,25.42,142.17,-,3,3
KH Pandya,2018-2021,19,10,5,124,26*,24.80,130.52,-,-,-
RR Pant,2017-2022,66,56,12,987,65*,22.43,126.37,-,3,3
Parvez Rasool,2017-2017,1,1,0,5,5,5.00,83.33,-,-,-
AR Patel,2015-2023,40,25,12,288,65,22.15,152.38,-,1,1
HV Patel,2021-2023,25,10,4,77,18,12.83,135.08,-,-,1
MM Patel,2011-2011,3,1,0,-,0,0.00,0.0,-,-,1
PA Patel,2011-2011,2,2,0,36,26,18.00,112.5,-,-,-
IK Pathan,2006-2012,24,14,7,172,33*,24.57,119.44,-,-,-
YK Pathan,2007-2012,22,18,5,236,37*,18.15,146.58,-,-,3
AM Rahane,2011-2016,20,20,2,375,61,20.83,113.29,-,1,2
KL Rahul,2016-2022,72,68,8,2265,110*,37.75,139.12,2,22,5
SK Raina,2006-2018,78,66,11,1605,101,29.18,134.87,1,5,3
N Rana,2021-2021,2,2,0,15,9,7.50,55.55,-,-,-
Ravi Bishnoi,2022-2022,10,2,1,10,8*,10.00,250.0,-,-,-
AT Rayudu,2014-2016,6,5,1,42,20,10.50,84.0,-,-,2
NA Saini,2019-2021,11,3,3,12,11*,-,109.09,-,-,-
C Sakariya,2021-2021,2,1,1,5,5*,-,55.55,-,-,-
SV Samson,2015-2023,17,16,1,301,77,20.06,133.77,-,1,1
Sandeep Sharma,2015-2015,2,1,1,1,1*,-,100.0,-,-,-
S Sandeep Warrier,2021-2021,1,-,0,-,-,-,0.0,-,-,-
V Sehwag,2006-2012,19,18,0,394,68,21.88,145.38,-,2,1
V Shankar,2018-2019,9,4,0,101,43,25.25,138.35,-,-,-
I Sharma,2008-2013,14,3,2,8,5*,8.00,88.88,-,-,1
KV Sharma,2014-2014,1,-,0,-,-,-,0.0,-,-,-
MM Sharma,2014-2015,8,2,2,3,3*,-,42.85,-,-,-
R Sharma,2012-2012,2,-,0,-,-,-,0.0,-,-,-
RG Sharma,2007-2022,148,140,17,3853,118,31.32,139.24,4,29,10
PP Shaw,2021-2021,1,1,0,-,0,0.00,0.0,-,-,1
Shivam Mavi,2023-2023,6,2,0,28,26,14.00,155.55,-,-,-
Shubman Gill,2023-2023,6,6,1,202,126*,40.40,165.57,1,-,-
RP Singh,2007-2009,10,2,2,3,2*,-,100.0,-,-,-
BB Sran,2016-2016,2,-,0,-,-,-,0.0,-,-,-
S Sreesanth,2006-2008,10,3,2,20,19*,20.00,142.85,-,-,1
SR Tendulkar,2006-2006,1,1,0,10,10,10.00,83.33,-,-,-
SN Thakur,2018-2022,25,6,3,69,22*,23.00,181.57,-,-,2
MK Tiwary,2011-2012,3,1,0,15,15,15.00,88.23,-,-,-
RA Tripathi,2023-2023,5,5,0,97,44,19.39,144.77,-,-,1
S Tyagi,2009-2009,1,-,0,-,-,-,0.0,-,-,-
Umran Malik,2022-2023,8,2,2,5,4*,-,250.0,-,-,-
JD Unadkat,2016-2018,10,-,0,-,-,-,0.0,-,-,-
RV Uthappa,2007-2015,13,12,2,249,50,24.90,118.0,-,1,1
CV Varun,2021-2021,6,1,0,-,0,0.00,0.0,-,-,1
M Vijay,2010-2015,9,9,0,169,48,18.77,109.74,-,-,1
R Vinay Kumar,2010-2013,9,1,1,2,2*,-,50.0,-,-,-
Washington Sundar,2017-2023,35,14,4,107,50,10.70,152.85,-,1,4
SA Yadav,2021-2023,48,46,10,1675,117,46.52,175.76,3,13,3
UT Yadav,2012-2022,9,2,1,22,20*,22.00,104.76,-,-,-
Yuvraj Singh,2007-2017,58,51,9,1177,77*,28.02,136.38,-,8,1
